Time [s],Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm],CO [l/min],CI [l/min/m^2],SV [ml],SI [ml/m^2],SVR [dyn*s/cm^5],SVRI [dyn*s*m^2/cm^5],PPV [%],SVV [%],NBP Sys [mmHg],NBP Dia [mmHg],Event,CO cal [l/min],Height Offset [cm],CVP [mmHg]
21.73,,,,,,,,,,,,,,,Optimize Signal Quality,,,
33.73,,,,,,,,,,,,,,,Optimize Signal Quality,,,
44.73,,,,,,,,,,,,,,,Optimize Signal Quality,,,
49.38,83,80,74,32,,,,,,,,,,,,,,
50.21,82,77,72,32,,,,,,,,,,,,,,
51.06,81,76,70,32,,,,,,,,,,,,,,
51.94,81,75,70,32,,,,,,,,,,,,,,
52.81,80,74,69,32,,,,,,,,,,,,,,
53.7,80,74,69,32,,,,,,,,,,,,,,
54.58,80,74,70,32,,,,,,,,,,,,,,
55.46,80,75,70,68,,,,,,,,,,,,,,
56.36,80,75,70,67,,,,,,,,,,,,,,
57.26,80,76,71,67,,,,,,,,,,,,,,
58.18,80,76,72,66,,,,,,,,,,,,,,
59.11,80,76,72,64,,,,,,,,,,,,,,
65.73,60,60,60,0,,,,,,,,,,,,,,
72.94,77,61,55,0,,,,,,,,,,,,,,
79.73,58,58,58,0,,,,,,,,,,,,,,
87.23,59,59,59,0,,,,,,,,,,,,,,
94.73,69,69,69,0,,,,,,,,,,,,,,
96.55,80,60,53,0,,,,,,,,,,,,,,
97.37,87,79,72,75,,,,,,,,,,,,,,
98.28,90,85,76,66,,,,,,,,,,,,,,
99.18,91,87,83,64,,,,,,,,,,,,,,
100.13,92,87,82,63,,,,,,,,,,,,,,
101.01,92,88,84,68,,,,,,,,,,,,,,
101.85,94,89,85,71,,,,,,,,,,,,,,
102.78,94,90,85,69,,,,,,,,,,,,,,
103.66,95,91,86,67,,,,,,,,,,,,,,
104.53,95,92,87,70,,,,,,,,,,,,,,
105.41,96,92,87,67,,,,,,,,,,,,,,
106.33,95,92,87,65,,,,,,,,,,,,,,
107.24,95,92,88,65,,,,,,,,,,,,,,
108.14,95,91,87,67,,,,,,,,,,,,,,
109.09,94,91,86,64,,,,,,,,,,,,,,
110.08,94,90,85,62,,,,,,,,,,,,,,
111.03,92,89,84,64,,,,,,,,,,,,,,
111.96,90,87,83,62,,,,,,,,,,,,,,
112.91,89,86,82,62,,,,,,,,,,,,,,
113.76,99,88,83,72,,,,,,,,,,,,,,
114.53,100,89,81,75,,,,,,,,,,,,,,
114.78,,,,,,,,,,,,,135,68,internal,,,
115.36,102,91,83,72,,,,,,,,,,,,,,
116.22,101,92,85,69,,,,,,,,,,,,,,
117.06,101,92,84,72,,,,,,,,,,,,,,
117.96,100,92,85,67,,,,,,,,,,,,,,
118.89,100,91,85,64,,,,,,,,,,,,,,
119.73,99,91,85,71,,,,,,,,,,,,,,
120.54,98,91,84,73,,,,,,,,,,,,,,
121.42,98,91,84,68,,,,,,,,,,,,,,
122.35,97,90,83,65,,,,,,,,,,,,,,
123.3,96,90,85,64,,,,,,,,,,,,,,
124.22,96,87,79,65,,,,,,,,,,,,,,
125.15,96,85,78,64,,,,,,,,,,,,,,
125.73,,,,,,,,,,,,,,,Optimize Signal Quality,,,
126.06,96,85,78,64,,,,,,,,,,,,,,
126.93,96,85,78,69,,,,,,,,,,,,,,
127.81,96,85,78,68,,,,,,,,,,,,,,
128.69,96,85,78,68,,,,,,,,,,,,,,
129.55,96,85,78,70,,,,,,,,,,,,,,
130.44,96,85,78,67,,,,,,,,,,,,,,
131.36,96,85,78,65,,,,,,,,,,,,,,
132.21,109,97,88,64,,,,,,,,,,,,,,
133.11,110,96,88,64,,,,,,,,,,,,,,
134.04,111,96,88,64,,,,,,,,,,,,,,
134.97,111,96,88,65,,,,,,,,,,,,,,
135.84,111,96,88,70,,,,,,,,,,,,,,
136.72,111,96,88,67,,,,,,,,,,,,,,
137.66,111,96,88,65,,,,,,,,,,,,,,
138.54,111,97,89,67,,,,,,,,,,,,,,
139.32,,,,,,,,,,,,,,,NBPcal,,,
139.43,136,93,68,67,,,,,,,,,,,,,,
140.35,133,94,70,65,,,,,,,,,,,,,,
141.19,131,99,76,71,,,,,,,,,,,,,,
142.07,132,100,74,68,,,,,,,,,,,,,,
143.02,130,97,73,63,,,,,,,,,,,,,,
143.97,126,94,72,63,,,,,,,,,,,,,,
144.87,127,94,72,66,,,,,,,,,,,,,,
145.84,127,92,67,62,,,,,,,,,,,,,,
146.82,126,89,66,61,,,,,,,,,,,,,,
147.73,121,87,67,67,,,,,,,,,,,,,,
148.56,124,90,70,71,,,,,,,,,,,,,,
149.41,123,93,72,70,,,,,,,,,,,,,,
150.31,124,95,72,67,,,,,,,,,,,,,,
151.25,124,94,71,64,,,,,,,35,,,,,,,
152.19,121,92,71,64,,,,,,,35,,,,,,,
153.13,120,89,69,64,,,,,,,35,,,,,,,
154.05,119,86,69,65,,,,,,,35,,,,,,,
154.91,116,86,70,70,,,,,,,35,,,,,,,
155.67,119,92,74,79,,,,,,,35,,,,,,,
156.45,120,97,77,78,,,,,,,35,,,,,,,
157.28,122,98,78,71,,,,,,,35,,,,,,,
158.19,122,94,74,66,,,,,,,35,,,,,,,
159.11,120,93,72,65,,,,,,,35,,,,,,,
160,119,93,76,67,5.9,3.3,88,49,1167,2090,35,,,,,,,
160.93,119,92,71,65,5.9,3.3,88,49,1167,2090,28,,,,,,,
161.85,118,90,72,65,5.9,3.3,88,49,1167,2090,28,,,,,,,
162.69,118,91,72,71,5.9,3.3,88,49,1167,2090,28,,,,,,,
163.53,119,94,74,71,5.9,3.3,88,49,1167,2090,28,,,,,,,
164.41,120,96,75,69,5.9,3.3,88,49,1167,2090,28,,,,,,,
165.33,120,96,76,65,5.9,3.3,88,49,1167,2090,28,,,,,,,
166.2,116,95,76,69,5.9,3.3,88,49,1167,2090,28,,,,,,,
167.04,116,94,75,71,5.9,3.3,88,49,1167,2090,28,,,,,,,
167.73,,,,,,,,,,,,,,,Optimize Signal Quality,,,
167.95,116,94,75,71,5.9,3.3,88,49,1167,2090,28,,,,,,,
168.93,116,94,75,61,5.9,3.3,88,49,1167,2090,28,,,,,,,
169.82,116,94,75,67,5.9,3.3,88,49,1167,2090,28,,,,,,,
170.69,116,94,75,69,5.9,3.3,88,49,1167,2090,28,,,,,,,
171.64,116,94,75,63,5.9,3.3,88,49,1167,2090,28,,,,,,,
172.55,116,94,75,66,5.9,3.3,88,49,1167,2090,28,,,,,,,
173.41,116,94,75,70,5.9,3.3,88,49,1167,2090,28,,,,,,,
174.28,128,99,74,71,5.9,3.3,88,49,1167,2090,28,,,,,,,
175.22,131,96,79,71,5.9,3.3,88,49,1167,2090,28,,,,,,,
176.1,128,96,79,71,5.9,3.3,88,49,1167,2090,28,,,,,,,
177,130,96,77,67,5.9,3.3,88,49,1167,2090,28,17,,,,,,
