I0,I1,,
55.659943,49.674999,,15:27
55.664726,49.799999,,
55.519783,49.825001,,
55.463474,50.700001,,
55.521336,51,,
55.464607,50.325001,,
55.472687,49.775002,,
55.528057,49.349998,,
55.073681,49.075001,,
55.236847,49.200001,,
55.15802,49.075001,,
55.149967,49.150002,,
55.243046,49.125,,
55.261497,49.25,,
55.472889,49.200001,,
55.676647,49.349998,,
55.627434,49.400002,,
55.690483,49.75,,
55.489098,50.799999,,
55.58952,51.799999,,
55.613331,52.275002,,
55.630707,52.299999,,
55.59391,51.25,,
55.567055,50.799999,,
55.646412,50.650002,,
55.654854,50.275002,,
55.611534,50.049999,,
55.233562,49.625,,
55.304058,49.950001,,
55.355515,50.099998,,
55.393059,49.700001,,
55.568905,49.650002,,
55.746723,49.375,,
55.678585,49.200001,,
55.331978,49.125,,
55.573807,49.075001,,
55.601864,48.924999,,
55.52338,49.049999,,
55.466099,49.275002,,
55.424294,49.099998,,
55.641178,49.299999,,
55.601555,48.75,,
55.572639,49.174999,,
55.304131,49.150002,,
55.306084,50.275002,,
55.554901,51.549999,,
55.637547,51.674999,,
55.648384,51.650002,,
55.804729,51.325001,,
55.869358,50.724998,,
55.669132,50.224998,,
55.720909,49.875,,
55.857662,49.799999,,
55.858513,49.575001,,
55.512775,49.349998,,
55.458359,49.450001,,
55.468121,49.424999,,
55.47525,49.174999,,
55.579411,49.349998,,
55.408039,49.025002,,
55.381924,48.924999,,
55.362858,48.849998,,
55.497379,48.700001,,
55.496605,48.875,,
55.446552,48.674999,,
55.657429,49.025002,,
55.415493,48.900002,,
55.43684,48.700001,,
55.551376,48.549999,,
55.585495,48.549999,,
55.65987,49,,
55.56572,49.650002,,
55.497002,50.424999,,
55.44685,50.674999,,
55.459724,50.349998,,
55.271202,49.900002,,
55.381012,49.174999,,
55.36219,49.200001,,
55.447418,48.974998,,
55.559093,49.299999,,
55.541649,49.424999,,
55.578388,49.174999,,
55.506248,49.150002,,
55.305157,48.900002,,
55.356312,48.799999,,
55.492607,48.599998,,
55.443634,48.700001,,
55.556339,48.400002,,
55.490154,49.075001,,
55.540813,48.700001,,
55.429348,48.650002,,
55.446949,48.474998,,
55.50927,48.75,,
55.554764,48.575001,,
55.489002,48.424999,,
54.946224,48.825001,,
55.193302,49.099998,,
55.522072,49.525002,,
55.316711,50.174999,,
55.562664,50.125,,
55.54425,50.125,,
55.530811,49.775002,,
55.619961,49.75,,
55.635551,49.625,,
55.646923,49.275002,,
55.556267,49.099998,,
55.490097,49.200001,,
55.392334,49.099998,,
55.41993,49,,
55.440075,49.049999,,
55.4053,49.200001,,
55.379921,49.099998,,
55.50983,49.049999,,
55.604645,49.075001,,
55.426456,48.75,,
55.395363,48.75,,
55.620064,49.150002,,
55.388226,49.075001,,
55.416935,49,,
55.536846,48.900002,,
55.57489,48.775002,,
55.553177,48.900002,,
55.487846,48.799999,,
55.242252,49.049999,,
55.211441,48.900002,,
55.287918,49.575001,,
55.44268,49.974998,,
55.506157,50.400002,,
